Index_dtools,Manufacturer_dtools,Model_dtools,Part_dtools,Cost_dtools,Price_dtools,Used_dtools,Match Ratio,Index[1],Manufacturer[1],Model[1],Part[1],Cost[1],Price[1],Used[1],Match,Keep,Manufacturer[0],Model[0]
422,CHIEF,JWDSKVB,JWDSKVB,232.2,430.0,False,100.0,465,CHIEF,JWDSKVB,,232.2,459.0,False,False,True,,
423,CHIEF,LSM1U,LSM1U,120.96,224.0,False,100.0,1012,CHIEF,LSM1U,,120.96,262.0,False,False,True,,
424,CHIEF,LSTU,LSTU,90.72,168.0,False,100.0,1014,CHIEF,LSTU,,90.72,202.0,False,False,True,,
425,CHIEF,LTM1U,LTM1U,170.1,315.0,False,100.0,1016,CHIEF,LTM1U,,170.1,339.0,False,False,True,,
426,CHIEF,LTTU,LTTU,120.96,224.0,False,100.0,1018,CHIEF,LTTU,,120.96,262.0,False,False,True,,
427,CHIEF,LVS1U,LVS1U,501.6,836.0,False,100.0,1025,CHIEF,LVS1U,,501.6,920.0,False,False,True,,
428,CHIEF,MCM1U,MCM1U,152.28,282.0,False,100.0,1076,CHIEF,MCM1U,,152.28,317.0,False,False,True,,
429,CHIEF,MTM1U,MTM1U,105.3,195.0,False,100.0,1148,CHIEF,MTM1U,,109.08,225.0,False,False,True,,
430,CHIEF,MTMS1U,MTMS1U,103.68,192.0,False,100.0,1150,CHIEF,MTMS1U,,103.68,214.0,False,False,True,,
431,CHIEF,MTTU,MTTU,90.72,168.0,False,100.0,1153,CHIEF,MTTU,,90.72,202.0,False,False,True,,
432,CHIEF,MWRUB,MWRUB,293.22,543.0,False,100.0,1161,CHIEF,MWRUB,,293.22,603.0,False,False,True,,
465,CHIEF,XTM1U,XTM1U,201.42,373.0,False,100.0,2834,CHIEF,XTM1U,,201.42,405.0,False,False,True,,
419,CHIEF,FHBU,FHBU,5.89,10.9,False,100.0,347,CHIEF,FHBU,,5.89,15.9,False,False,True,,
407,CHIEF,CMA110,CMA110,36.72,68.0,False,100.0,22,CHIEF,CMA110,,36.72,88.0,False,False,True,,
435,CHIEF,PAC525,PAC525,43.2,72.0,False,100.0,1226,CHIEF,PAC525,,43.2,83.0,False,False,True,,
451,CHIEF,TA502,TA502,117.72,218.0,False,100.0,2701,CHIEF,TA502,,117.72,251.0,False,False,True,,
437,CHIEF,PAC526F,PAC526F,87.6,146.0,False,100.0,1242,CHIEF,PAC526F,,87.6,162.0,False,False,True,,
438,CHIEF,PAC526FCW,PAC526FCW,106.8,178.0,False,100.0,1249,CHIEF,PAC526FCW,,106.8,196.0,False,False,True,,
440,CHIEF,PNRIW2000B,PNRIW2000B,355.32,658.0,False,100.0,1364,CHIEF,PNRIW2000B,,355.32,724.0,False,False,True,,
441,CHIEF,PNRIWUB,PNRIWUB,416.34,771.0,False,100.0,1365,CHIEF,PNRIWUB,,416.34,889.0,False,False,True,,
442,CHIEF,PNRUB,PNRUB,416.34,771.0,False,100.0,1366,CHIEF,PNRUB,,416.34,856.0,False,False,True,,
443,CHIEF,PSMH2079,PSMH2079,504.36,934.0,False,100.0,1422,CHIEF,PSMH2079,,504.36,1038.0,False,False,True,,
444,CHIEF,RPAU,RPAU,118.8,220.0,False,100.0,1573,CHIEF,RPAU,,118.8,246.0,False,False,True,,
445,CHIEF,RPMA364,RPMA364,142.56,264.0,False,100.0,1677,CHIEF,RPMA364,,142.56,289.0,False,False,True,,
446,CHIEF,RPMAU,RPMAUX,142.56,264.0,False,100.0,1680,CHIEF,RPMAU,,142.56,289.0,False,False,True,,
447,CHIEF,RPMAUW,RPMAUW,142.56,264.0,False,100.0,1682,CHIEF,RPMAUW,,142.56,289.0,False,False,True,,
436,CHIEF,PAC525FW,PAC525FW,62.4,104.0,False,100.0,1235,CHIEF,PAC525FW,,62.4,118.0,False,False,True,,
449,CHIEF,TA500,TA500,164.7,305.0,False,100.0,2699,CHIEF,TA500,,164.7,328.0,False,False,True,,
